Source,Target
34,9
84,9
84,34
77,18
89,18
89,77
9,18
34,18
34,77
84,77
84,89
12,68
46,12
46,68
16,99
30,16
30,99
12,16
46,16
46,30
46,99
68,99
9,12
18,12
18,16
18,30
34,30
34,46
77,46
77,68
77,99
84,99
89,99
95,6
90,6
90,95
36,22
93,22
93,36
6,22
90,22
90,36
90,93
95,93
7,57
61,7
61,57
72,66
27,92
66,27
66,92
72,92
7,27
57,27
57,66
61,66
6,7
22,7
22,27
36,27
36,57
90,57
90,61
90,66
90,72
90,92
93,92
9,6
9,7
9,22
12,22
16,22
18,22
30,22
30,27
30,36
34,36
46,36
46,57
68,57
68,61
68,66
68,72
77,72
77,90
84,90
89,90
99,90
99,92
99,93
99,95
93,78
37,78
52,37
81,37
81,52
37,37
78,52
78,81
93,81
53,39
12,39
30,68
87,30
87,68
39,30
39,68
53,68
37,12
37,30
37,39
52,39
52,53
78,53
78,68
78,87
81,87
93,87
78,44
15,44
78,89
100,78
100,89
78,78
34,98
10,34
67,19
11,57
19,11
19,57
67,57
10,11
34,11
34,19
98,57
98,67
15,10
15,11
15,19
44,19
44,34
44,57
78,67
78,98
89,98
100,98
12,10
12,11
12,15
30,15
30,19
37,34
37,44
39,44
52,44
52,57
53,57
68,67
81,89
87,89
93,98
6,10
7,10
9,10
12,12
16,15
16,19
18,19
22,19
30,30
34,34
36,37
46,37
46,39
46,44
46,52
57,57
61,67
66,67
68,68
72,78
77,78
84,78
84,81
84,87
89,89
93,93
95,98
99,98
99,100
52,14
89,14
89,52
28,56
21,28
14,21
52,21
52,28
52,56
89,56
40,36
40,44
35,22
35,36
36,36
14,22
21,22
28,22
28,35
94,84
43,84
22,56
43,14
43,22
43,56
84,56
5,54
4,5
14,95
84,14
4,14
5,14
54,14
54,84
14,14
22,54
43,54
56,54
84,84
94,90
94,95
22,22
28,43
35,43
36,43
40,43
44,43
44,54
52,54
56,56
65,39
42,39
42,65
21,31
48,21
48,31
39,21
39,31
39,48
42,48
65,48
29,24
53,24
53,29
79,30
45,30
45,79
24,30
29,30
53,30
53,45
53,79
21,24
31,24
31,29
31,30
31,45
39,45
42,45
48,45
48,53
65,53
65,79
51,9
29,9
29,51
70,14
66,70
9,14
29,14
51,66
74,75
25,74
19,73
62,56
19,56
73,56
73,62
25,19
25,56
74,56
74,62
74,73
14,19
29,19
29,25
29,56
51,56
66,56
66,62
66,73
70,73
21,19
21,25
24,25
29,29
30,51
31,51
39,51
42,51
45,51
48,51
53,51
53,56
65,56
65,62
65,66
79,66
79,70
79,73
79,74
79,75
4,9
5,9
21,21
22,24
28,24
28,25
28,29
35,29
35,30
35,31
40,39
40,42
43,42
43,45
44,45
52,45
52,48
52,51
54,53
84,62
84,65
84,70
84,73
84,74
84,75
84,79
6,4
6,5
9,9
10,14
11,14
12,14
15,14
19,19
27,24
27,25
27,28
34,31
34,35
39,39
44,42
44,44
46,45
46,48
52,52
53,53
57,54
57,56
57,62
61,62
66,66
67,70
68,70
72,70
72,73
77,73
77,74
77,75
77,79
78,79
81,79
90,90
92,94
93,94
95,95
1558,
73,32
86,32
86,73
52,49
61,49
61,52
32,49
73,49
73,52
73,61
55,52
83,52
83,55
29,48
12,29
52,12
52,29
52,48
32,12
32,29
32,48
49,48
52,52
61,55
61,83
73,83
86,83
71,46
93,46
93,71
70,58
85,58
85,70
46,58
71,58
71,70
71,85
93,85
52,72
91,52
91,72
63,57
59,66
57,59
63,59
63,66
52,57
72,57
72,59
72,63
72,66
46,52
58,52
58,57
58,59
70,59
70,63
70,66
70,72
71,72
85,72
85,91
93,91
12,46
29,46
32,46
48,46
55,57
61,57
61,58
61,59
61,63
73,63
73,66
73,70
73,71
73,72
73,85
83,85
86,85
86,91
99,54
37,54
83,69
8,69
37,8
37,69
54,69
99,69
99,83
7,34
8,7
8,34
2,12
22,2
22,12
7,2
7,12
8,12
34,12
34,22
8,2
8,8
37,12
37,22
37,34
19,15
91,15
91,19
27,88
96,27
96,88
15,27
19,27
91,27
91,88
91,96
96,70
25,70
24,40
76,62
24,62
40,62
25,24
25,40
70,40
70,62
70,76
96,76
15,24
19,24
27,24
27,25
27,40
88,40
88,62
88,70
88,76
96,96
2,15
7,15
8,15
12,15
22,15
22,19
22,24
34,24
34,25
34,27
34,40
37,40
54,40
54,62
69,62
69,70
83,70
83,76
83,88
99,88
99,91
99,96
12,12
29,15
29,19
29,22
29,24
29,25
29,27
29,34
32,34
46,34
46,37
46,40
46,54
48,54
49,54
52,54
55,54
55,62
57,62
58,62
59,62
61,62
63,62
63,69
66,69
70,70
71,76
72,76
73,76
83,83
85,88
86,88
91,91
93,96
10,97
51,10
51,97
47,91
57,47
57,91
10,47
51,47
51,57
97,57
97,91
36,47
86,36
86,47
49,82
3,49
36,3
36,49
47,49
86,82
10,3
10,36
47,47
51,49
51,82
57,82
91,82
60,23
58,23
58,60
40,95
58,40
58,95
23,40
58,58
60,95
79,7
18,7
18,79
26,65
18,20
26,18
26,20
18,18
79,20
79,26
79,65
23,7
23,18
23,20
23,26
40,26
40,65
58,65
60,65
95,65
95,79
3,7
10,7
10,18
36,18
36,20
36,23
36,26
36,40
47,40
47,58
82,58
82,60
82,65
82,79
82,95
86,95
91,95
97,95
70,80
34,28
81,28
81,34
61,28
61,34
61,81
70,81
80,81
48,43
96,43
96,48
71,9
81,9
81,71
43,9
43,71
48,71
96,81
28,9
28,43
34,43
61,43
61,71
80,71
81,81
10,22
36,31
74,31
74,36
7,31
10,31
22,31
90,20
13,20
58,31
100,57
31,57
58,100
13,31
20,31
90,31
90,57
90,58
90,100
7,13
10,13
22,13
22,20
31,31
74,57
74,58
74,90
9,7
9,10
28,10
28,13
28,20
28,22
28,31
34,31
34,36
43,36
43,57
48,57
61,74
70,74
71,74
80,74
80,90
81,90
96,90
96,100
7,7
10,10
18,13
20,20
23,22
23,28
26,28
36,36
40,43
47,43
47,48
49,57
57,57
60,61
65,61
65,70
79,70
79,71
79,74
79,80
82,80
82,81
82,90
86,90
91,90
95,96
97,96
97,100
2,3
8,9
12,9
12,10
12,13
15,13
15,18
19,18
19,20
22,22
24,23
24,26
25,26
27,26
27,28
29,28
29,31
32,31
34,34
37,36
40,40
46,43
46,47
48,48
49,49
52,51
54,57
59,60
61,61
62,65
