0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
7,0,0,7,0,0,25,7,0,20,33,0,11,0,0,23,0,0,0,0,7,10,0,23,9,24,0,36,0,10,0,24,0,11,27,8,10,0,31,8,23,20,11,16,10,12,13,0,44,10,12,13,0,23,12,21,11,22,0,28,23,11,0,11,0,0,0,0,23,16,0,12,22,12,24,8,15,23,0,0,37,32,0,8,0,0,0,22,0,15,0,0,0,0,21,0,21,7,31,11,
0,15,0,0,0,8,7,0,17,0,0,13,19,25,19,0,21,12,20,13,0,13,0,10,0,21,7,11,20,0,0,28,10,0,27,0,0,0,0,11,8,23,0,0,0,22,34,0,0,0,33,18,14,7,31,0,44,10,13,0,9,0,0,0,12,0,10,0,35,13,10,0,21,0,0,23,0,15,0,29,29,7,0,21,10,16,13,8,12,13,49,0,17,10,21,0,9,11,28,21,
0,24,34,0,0,0,19,12,16,0,10,45,9,11,10,0,18,12,0,13,9,0,7,0,0,0,10,0,32,8,8,0,13,12,0,14,0,14,0,25,24,12,13,0,21,9,24,0,31,10,9,13,16,11,34,13,10,5,12,0,15,23,0,18,0,9,0,23,0,0,0,11,0,30,26,17,6,0,21,36,13,0,18,19,0,9,16,33,10,0,10,13,0,0,23,0,13,0,0,8,
15,19,9,0,30,20,11,10,17,0,0,9,0,0,0,11,25,0,0,0,21,0,49,13,0,0,11,10,21,28,12,11,0,13,21,11,11,0,11,0,12,0,32,11,0,24,0,0,12,17,14,19,8,25,11,0,8,10,0,29,0,0,35,23,10,0,36,0,10,0,10,0,32,0,32,10,0,29,11,0,0,0,0,7,29,17,18,28,10,13,8,0,0,7,27,0,11,0,0,8,
7,14,10,9,9,17,0,0,8,0,23,24,17,43,11,0,13,9,0,0,12,56,24,12,11,11,0,0,0,11,0,16,8,21,8,0,23,12,23,0,0,0,0,13,0,7,11,0,17,11,0,15,0,12,11,11,18,7,17,14,15,8,19,11,10,21,13,27,10,0,29,0,40,30,10,17,23,14,0,9,0,0,0,20,0,11,16,0,7,4,0,0,0,15,21,7,11,4,12,0,
14,7,28,9,0,12,20,20,25,10,18,12,0,0,10,0,0,0,16,14,0,0,11,10,19,21,11,0,11,10,10,9,19,30,8,23,8,0,9,0,24,0,33,27,9,0,12,7,13,22,0,0,0,0,0,14,0,14,0,10,19,36,0,0,0,21,0,25,15,10,12,22,10,0,12,12,13,26,25,9,0,31,12,0,21,22,11,0,9,0,0,12,15,0,13,23,20,9,9,11,
15,0,25,22,17,0,25,0,0,0,10,10,46,40,0,0,0,0,10,15,0,10,0,15,0,0,12,0,20,14,31,27,0,11,14,8,0,23,0,0,0,23,23,12,22,11,7,0,10,0,11,23,32,22,0,26,9,10,0,15,0,19,11,0,5,14,15,31,0,36,9,14,10,25,0,18,18,12,0,25,13,0,15,0,0,9,8,0,11,18,0,7,9,12,18,7,8,10,7,0,
14,8,0,10,9,18,10,0,18,0,10,15,0,0,18,26,13,0,0,12,11,33,0,0,0,21,36,21,10,0,0,0,0,13,19,11,23,8,0,43,29,23,11,20,32,20,0,0,23,0,0,0,0,13,0,0,23,11,27,9,9,23,16,0,7,15,23,0,0,11,10,15,0,12,0,9,11,0,30,28,27,6,25,20,0,18,29,0,7,0,0,0,33,15,0,0,0,10,4,0,
31,0,20,10,0,19,9,9,0,0,14,0,11,7,0,0,22,23,10,0,9,0,0,15,0,10,0,25,9,11,29,11,8,22,15,0,0,0,0,20,0,11,12,0,8,0,0,8,24,15,10,8,0,0,0,22,19,0,14,9,0,0,13,11,22,43,0,13,0,13,19,17,0,13,21,0,10,11,11,0,37,0,38,21,23,0,10,18,22,46,0,0,11,28,10,21,6,5,8,17,
0,6,16,0,9,18,0,0,0,0,9,14,0,0,8,0,0,0,0,9,0,9,12,0,13,0,21,0,7,13,13,0,28,0,13,22,11,23,0,12,12,10,25,0,35,0,25,30,25,31,21,0,0,0,0,9,9,0,0,12,17,21,16,13,0,46,0,10,12,17,9,0,30,10,0,13,18,15,16,0,29,11,27,0,16,9,24,0,20,11,23,12,9,16,33,12,0,14,20,9,
7,26,0,11,8,16,24,8,35,9,40,0,16,11,0,12,10,0,0,0,0,24,30,16,9,15,10,0,29,0,19,12,31,12,24,11,0,13,0,0,23,27,37,15,0,9,8,11,22,25,0,0,17,9,14,0,12,0,10,0,10,0,9,0,0,13,17,16,30,0,0,8,0,11,12,28,11,19,0,22,0,8,0,15,19,0,17,0,0,12,11,18,0,0,11,11,0,28,11,0,
