0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
0,0,0,0,4,5,8,7,0,15,8,7,14,0,20,8,8,0,9,18,0,12,22,0,9,8,0,10,10,14,24,10,0,0,17,8,14,12,0,18,5,0,8,12,16,12,15,0,10,0,0,12,19,17,10,0,20,20,0,0,0,7,8,0,0,9,17,8,17,0,8,0,8,10,8,4,0,14,18,13,0,8,0,0,23,0,0,7,0,15,17,0,7,13,5,9,0,0,9,13,
0,0,6,5,0,0,0,15,10,8,15,0,16,9,0,12,0,0,12,8,13,0,16,11,11,7,11,12,14,14,0,16,9,0,20,0,17,9,0,0,20,0,0,12,0,0,14,14,13,14,0,7,17,0,11,6,0,23,22,9,7,20,14,10,0,12,7,0,0,9,23,18,12,14,13,0,10,0,0,13,8,13,14,17,0,10,13,0,12,0,13,19,0,6,0,11,16,8,0,8,
7,11,0,0,12,12,9,18,0,0,0,0,13,6,9,10,15,0,14,18,7,0,17,14,0,0,14,0,7,0,12,13,0,18,11,13,0,10,8,0,0,21,6,0,19,9,0,0,5,0,0,17,7,10,0,0,11,17,17,0,0,9,12,9,0,10,23,7,8,0,9,16,17,14,0,0,0,7,17,0,0,0,10,11,0,11,8,0,10,11,0,16,17,0,5,11,14,9,0,0,
5,13,0,0,0,0,0,0,8,0,8,14,11,8,0,0,9,13,0,17,7,14,11,0,9,0,20,15,7,16,9,19,8,15,0,0,0,0,0,0,15,0,0,11,0,9,0,12,0,6,29,9,8,0,11,11,15,23,0,10,8,12,8,18,0,0,7,11,16,0,0,0,7,13,23,15,0,23,0,7,0,7,19,8,0,13,0,8,9,12,7,13,18,8,0,0,8,9,0,0,
6,5,10,14,8,13,0,7,12,17,10,0,0,19,15,10,0,0,0,0,0,10,14,7,11,0,0,10,0,0,7,16,16,23,7,11,10,0,10,9,22,9,0,0,0,0,0,11,17,0,6,14,0,16,14,8,0,0,5,20,15,13,0,0,12,17,7,12,0,15,5,0,16,0,12,0,0,5,0,21,14,0,0,5,0,13,0,0,10,0,0,0,8,0,8,0,9,10,0,0,
12,0,0,0,0,8,0,7,13,0,11,12,13,18,0,13,10,0,9,12,14,16,17,15,16,0,0,0,9,0,0,8,11,0,0,9,13,19,0,0,13,0,12,0,0,0,9,0,22,0,21,0,0,0,10,18,0,0,19,8,9,0,9,0,21,7,11,0,6,0,10,0,0,0,15,0,10,0,0,10,0,21,13,0,0,14,3,7,20,15,0,7,16,10,8,8,0,0,11,0,
0,0,6,6,13,0,7,16,8,7,6,7,6,0,0,21,6,0,0,10,18,12,0,10,0,0,0,0,17,0,13,11,0,0,17,0,9,10,0,0,16,15,19,24,10,17,0,0,9,11,10,11,11,21,7,0,15,7,19,17,0,9,12,12,13,0,0,11,8,9,0,19,12,8,9,6,0,0,0,0,0,0,0,0,8,18,0,0,0,0,13,12,0,19,13,0,0,11,9,4,
11,5,0,0,0,14,0,15,7,8,10,5,0,20,9,0,14,10,0,12,0,8,12,0,21,11,0,14,9,0,0,10,11,12,10,21,9,0,15,0,11,17,21,0,9,0,0,0,11,14,0,8,0,9,11,20,0,16,18,0,13,0,13,10,0,0,9,13,16,0,10,0,13,7,11,8,0,0,17,24,0,19,7,15,5,16,0,8,0,0,0,8,8,11,0,5,8,0,3,0,
5,0,13,9,0,0,8,6,11,9,17,0,0,0,0,7,15,12,0,8,0,19,0,10,13,9,0,0,0,0,8,0,12,8,17,7,0,12,0,0,20,7,17,7,0,14,8,16,10,13,20,0,11,15,18,18,14,6,10,19,0,0,0,0,0,8,19,0,12,0,0,9,0,19,10,0,8,9,12,0,8,8,13,17,10,19,0,16,14,11,8,8,9,15,0,24,0,0,0,14,
0,12,7,9,8,0,10,9,14,16,9,11,0,11,11,9,8,19,9,12,0,10,12,0,0,15,21,15,25,9,8,22,0,8,0,8,0,0,0,0,0,11,0,0,0,9,17,9,15,17,9,7,19,10,0,13,27,8,7,0,14,0,0,7,0,0,14,23,9,0,0,0,0,15,17,10,10,12,14,8,0,12,17,0,0,8,15,10,6,0,0,0,11,0,7,12,8,0,12,12,
